Date,State,Bioenergy,Clean,Coal,Fossil,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Nuclear,Other Fossil,Other Renewables,Renewables,Solar,Wind,Wind and Solar
2019-01-03,Andaman and Nicobar,0.0,16.98,0.0,40.05,0.0,40.05,5.25,5.25,0.0,40.05,0.0,16.98,11.73,0.0,11.73
2019-01-03,Andhra Pradesh,500.34,9448.58,11590.0,16507.2,4880.4,4917.2,1772.11,2272.45,0.0,36.8,0.0,9448.58,3085.68,4090.45,7176.13
2019-01-03,Arunachal Pradesh,0.0,651.49,0.0,0.0,0.0,0.0,646.1,646.1,0.0,0.0,0.0,651.49,5.39,0.0,5.39
2019-01-03,Assam,2.0,358.51,750.0,1369.2,619.2,619.2,334.11,336.11,0.0,0.0,0.0,358.51,22.4,0.0,22.4
2019-01-03,Bihar,121.2,334.35,5730.0,5730.0,0.0,0.0,70.7,191.9,0.0,0.0,0.0,334.35,142.45,0.0,142.45
2019-01-03,Chandigarh,0.0,34.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.71,34.71,0.0,34.71
2019-01-03,Chhattisgarh,230.5,657.85,23328.0,23328.0,0.0,0.0,196.0,426.5,0.0,0.0,0.0,657.85,231.35,0.0,231.35
2019-01-03,Dadra and Nagar Haveli and Daman and Diu,0.0,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93,19.93,0.0,19.93
2019-01-03,Delhi,52.0,178.89,135.0,2343.4,2208.4,2208.4,0.0,52.0,0.0,0.0,0.0,178.89,126.89,0.0,126.89
2019-01-03,Goa,0.34,4.31,0.0,48.0,48.0,48.0,0.05,0.39,0.0,0.0,0.0,4.31,3.92,0.0,3.92
2019-01-03,Gujarat,77.3,11081.8,15492.0,23043.41,7551.41,7551.41,2051.3,2128.6,440.0,0.0,0.0,10641.8,2440.13,6073.07,8513.2
2019-01-03,Haryana,205.66,503.68,5540.0,5971.59,431.59,431.59,73.5,279.16,0.0,0.0,0.0,503.68,224.52,0.0,224.52
2019-01-03,Himachal Pradesh,7.2,10589.51,0.0,0.0,0.0,0.0,10559.63,10566.83,0.0,0.0,0.0,10589.51,22.68,0.0,22.68
2019-01-03,India Total,9918.95,130399.8,201135.7,226656.05,24882.71,25520.34,49849.17,59768.12,6780.0,637.63,0.0,123619.8,28225.72,35625.96,63851.68
2019-01-03,Jammu and Kashmir,0.0,3642.86,0.0,175.0,175.0,175.0,3628.03,3628.03,0.0,0.0,0.0,3642.86,14.83,0.0,14.83
2019-01-03,Jharkhand,4.3,173.3,4733.2,4733.2,0.0,0.0,134.05,138.35,0.0,0.0,0.0,173.3,34.95,0.0,34.95
2019-01-03,Karnataka,1799.8,18369.19,9480.0,9633.12,0.0,153.12,4898.93,6698.73,880.0,153.12,0.0,17489.19,6095.56,4694.9,10790.46
2019-01-03,Kerala,0.72,2270.33,0.0,693.54,533.58,693.54,2078.52,2079.24,0.0,159.96,0.0,2270.33,138.59,52.5,191.09
2019-01-03,Lakshadweep,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75
2019-01-03,Madhya Pradesh,120.75,6971.71,19785.0,19785.0,0.0,0.0,2490.91,2611.66,0.0,0.0,0.0,6971.71,1840.16,2519.89,4360.05
2019-01-03,Maharashtra,2528.69,13618.93,25886.0,29093.08,3207.08,3207.08,3262.57,5791.26,1400.0,0.0,0.0,12218.93,1633.54,4794.13,6427.67
2019-01-03,Manipur,0.0,113.89,0.0,36.0,0.0,36.0,110.45,110.45,0.0,36.0,0.0,113.89,3.44,0.0,3.44
2019-01-03,Meghalaya,13.8,418.45,0.0,0.0,0.0,0.0,404.53,418.33,0.0,0.0,0.0,418.45,0.12,0.0,0.12
2019-01-03,Mizoram,0.0,96.97,0.0,0.0,0.0,0.0,96.47,96.47,0.0,0.0,0.0,96.97,0.5,0.0,0.5
2019-01-03,Nagaland,0.0,106.67,0.0,0.0,0.0,0.0,105.67,105.67,0.0,0.0,0.0,106.67,1.0,0.0,1.0
2019-01-03,Odisha,59.22,2660.83,7680.0,7680.0,0.0,0.0,2206.88,2266.1,0.0,0.0,0.0,2660.83,394.73,0.0,394.73
2019-01-03,Others,0.0,49.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.31,45.01,4.3,49.31
2019-01-03,Puducherry,0.0,3.14,0.0,32.5,32.5,32.5,0.0,0.0,0.0,0.0,0.0,3.14,3.14,0.0,3.14
2019-01-03,Punjab,326.35,2611.82,5680.0,5680.0,0.0,0.0,1379.85,1706.2,0.0,0.0,0.0,2611.82,905.62,0.0,905.62
2019-01-03,Rajasthan,121.3,9262.66,9160.0,10183.13,1023.13,1023.13,434.85,556.15,1180.0,0.0,0.0,8082.66,3226.79,4299.72,7526.51
