Date,State,Bioenergy,Clean_emission,Coal,Fossil_emission,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Nuclear,Other Fossil,Other Renewables,Renewables,Solar,Total emissions,Wind,Wind and Solar,Bioenergy_Percent,Clean_Percent,Coal_Percent,Fossil_Percent,Gas_Percent,Gas and Other Fossil_Percent,Hydro_Percent,"Hydro, Bioenergy and Other Renewables_Percent",Nuclear_Percent,Other Fossil_Percent,Other Renewables_Percent,Renewables_Percent,Solar_Percent,Wind_Percent,Wind and Solar_Percent
01 January 2019,Andaman and Nicobar,0,0.1,0,4.82,0,4.82,0.03,0.03,0,4.82,0,0.1,0.07,4.92,0,0.07,0,0.1,0,4.82,0,4.82,0.03,0.03,0,4.82,0,0.1,0.07,0,0.07
01 January 2019,Andhra Pradesh,12.26,39.89,3372.67,3527.38,154.71,154.71,4.6,16.89,0,0,0.03,39.89,18.95,3567.27,4.05,23,12.26,39.89,3372.67,3527.38,154.71,154.71,4.6,16.89,0,0,0.03,39.89,18.95,4.05,23
01 January 2019,Arunachal Pradesh,0,1.03,0,0,0,0,1.02,1.02,0,0,0,1.03,0.01,1.03,0,0.01,0,1.03,0,0,0,0,1.02,1.02,0,0,0,1.03,0.01,0,0.01
01 January 2019,Assam,0,2.02,195.13,330.28,135.15,135.15,1.99,1.99,0,0,0,2.02,0.03,332.3,0,0.03,0,2.02,195.13,330.28,135.15,135.15,1.99,1.99,0,0,0,2.02,0.03,0,0.03
01 January 2019,Bihar,9.23,10,2529.5,2529.5,0,0,0.03,9.26,0,0,0,10,0.74,2539.5,0,0.74,9.23,10,2529.5,2529.5,0,0,0.03,9.26,0,0,0,10,0.74,0,0.74
01 January 2019,Chandigarh,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
01 January 2019,Chhattisgarh,6.09,7.77,6809.39,6809.39,0,0,0.26,6.35,0,0,0,7.77,1.42,6817.16,0,1.42,6.09,7.77,6809.39,6809.39,0,0,0.26,6.35,0,0,0,7.77,1.42,0,1.42
01 January 2019,Dadra and Nagar Haveli and Daman and Diu,0,0.11,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11
01 January 2019,Delhi,0,0.83,0,251.28,251.28,251.28,0,0.81,0,0,0.81,0.83,0.02,252.11,0,0.02,0,0.83,0,251.28,251.28,251.28,0,0.81,0,0,0.81,0.83,0.02,0,0.02
01 January 2019,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 January 2019,Gujarat,1.27,26.16,6681.1,7057.39,376.29,376.29,3.08,4.35,2.03,0,0,24.13,11.2,7083.55,8.58,19.78,1.27,26.16,6681.1,7057.39,376.29,376.29,3.08,4.35,2.03,0,0,24.13,11.2,8.58,19.78
01 January 2019,Haryana,5.99,6.64,1943.51,2005.63,62.12,62.12,0.41,6.4,0,0,0,6.64,0.24,2012.27,0,0.24,5.99,6.64,1943.51,2005.63,62.12,62.12,0.41,6.4,0,0,0,6.64,0.24,0,0.24
01 January 2019,Himachal Pradesh,0,35.36,0,0,0,0,35.36,35.36,0,0,0,35.36,0,35.36,0,0,0,35.36,0,0,0,0,35.36,35.36,0,0,0,35.36,0,0,0
01 January 2019,India Total,593.86,1020.65,70827.58,72778.46,1946.06,1950.88,186.98,782.17,37.44,4.82,1.33,983.21,169.67,73799.11,31.37,201.04,593.86,1020.65,70827.58,72778.46,1946.06,1950.88,186.98,782.17,37.44,4.82,1.33,983.21,169.67,31.37,201.04
01 January 2019,Jammu and Kashmir,0,15.31,0,0,0,0,15.31,15.31,0,0,0,15.31,0,15.31,0,0,0,15.31,0,0,0,0,15.31,15.31,0,0,0,15.31,0,0,0
01 January 2019,Jharkhand,0,0.07,1767.12,1767.12,0,0,0,0,0,0,0,0.07,0.07,1767.19,0,0.07,0,0.07,1767.12,1767.12,0,0,0,0,0,0,0,0.07,0.07,0,0.07
01 January 2019,Karnataka,125.92,203.95,2081.87,2081.87,0,0,29.67,155.59,6.09,0,0,197.86,36.44,2285.82,5.83,42.27,125.92,203.95,2081.87,2081.87,0,0,29.67,155.59,6.09,0,0,197.86,36.44,5.83,42.27
01 January 2019,Kerala,0,9.49,0,0,0,0,8.84,8.84,0,0,0,9.49,0.58,9.49,0.07,0.65,0,9.49,0,0,0,0,8.84,8.84,0,0,0,9.49,0.58,0.07,0.65
01 January 2019,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 January 2019,Madhya Pradesh,5.63,30.23,8417.39,8417.39,0,0,7.85,13.61,0,0,0.13,30.23,14.1,8447.62,2.52,16.62,5.63,30.23,8417.39,8417.39,0,0,7.85,13.61,0,0,0.13,30.23,14.1,2.52,16.62
01 January 2019,Maharashtra,188.5,222.12,7607.15,7964.87,357.72,357.72,9.21,197.71,11.98,0,0,210.14,9.96,8186.99,2.47,12.43,188.5,222.12,7607.15,7964.87,357.72,357.72,9.21,197.71,11.98,0,0,210.14,9.96,2.47,12.43
01 January 2019,Manipur,0,0.91,0,0,0,0,0.9,0.9,0,0,0,0.91,0.01,0.91,0,0.01,0,0.91,0,0,0,0,0.9,0.9,0,0,0,0.91,0.01,0,0.01
01 January 2019,Meghalaya,0,1.07,0,0,0,0,1.07,1.07,0,0,0,1.07,0,1.07,0,0,0,1.07,0,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0
01 January 2019,Mizoram,0,0.22,0,0,0,0,0.22,0.22,0,0,0,0.22,0,0.22,0,0,0,0.22,0,0,0,0,0.22,0.22,0,0,0,0.22,0,0,0
01 January 2019,Nagaland,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0
01 January 2019,Odisha,1.85,11.85,2736.26,2736.26,0,0,8.77,10.62,0,0,0,11.85,1.12,2748.11,0.11,1.23,1.85,11.85,2736.26,2736.26,0,0,8.77,10.62,0,0,0,11.85,1.12,0.11,1.23
01 January 2019,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 January 2019,Puducherry,0,0.01,0,4.58,4.58,4.58,0,0,0,0,0,0.01,0.01,4.59,0,0.01,0,0.01,0,4.58,4.58,4.58,0,0,0,0,0,0.01,0.01,0,0.01
01 January 2019,Punjab,17.99,32.5,1743.36,1743.36,0,0,9.98,27.97,0,0,0,32.5,4.53,1775.86,0,4.53,17.99,32.5,1743.36,1743.36,0,0,9.98,27.97,0,0,0,32.5,4.53,0,4.53
01 January 2019,Rajasthan,7.23,44.12,3811.63,3891.23,79.6,79.6,3.35,10.58,8.57,0,0,35.55,21.53,3935.35,3.44,24.97,7.23,44.12,3811.63,3891.23,79.6,79.6,3.35,10.58,8.57,0,0,35.55,21.53,3.44,24.97
01 January 2019,Sikkim,0,6.61,0,0,0,0,6.61,6.61,0,0,0,6.61,0,6.61,0,0,0,6.61,0,0,0,0,6.61,6.61,0,0,0,6.61,0,0,0
01 January 2019,Tamil Nadu,9.74,45.43,4646.65,4788.85,142.2,142.2,9.12,18.86,6.77,0,0,38.66,15.69,4834.28,4.11,19.8,9.74,45.43,4646.65,4788.85,142.2,142.2,9.12,18.86,6.77,0,0,38.66,15.69,4.11,19.8
01 January 2019,Telangana,9.96,39.08,3411.01,3411.01,0,0,1.65,11.97,0,0,0.36,39.08,26.91,3450.09,0.2,27.11,9.96,39.08,3411.01,3411.01,0,0,1.65,11.97,0,0,0.36,39.08,26.91,0.2,27.11
