Date,State,Bioenergy,Clean_generation,Coal,Fossil_generation,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Nuclear,Other Fossil,Other Renewables,Renewables,Solar,Total Generation,Wind,Wind and Solar,Renewable %,Fossil %
01 January 2019,Andaman and Nicobar,0,2.56,0,6.88,0,6.88,1.12,1.12,0,6.88,0,2.56,1.44,9.44,0,1.44,27.11864407,72.88135593
01 January 2019,Andhra Pradesh,53.3,1008.25,4113.01,4428.74,315.73,315.73,191.66,245.64,0,0,0.68,1008.25,394.84,5436.99,367.77,762.61,18.54426806,81.45573194
01 January 2019,Arunachal Pradesh,0,42.43,0,0,0,0,42.31,42.31,0,0,0,42.43,0.12,42.43,0,0.12,100,0
01 January 2019,Assam,0,83.73,237.96,513.78,275.82,275.82,83.07,83.07,0,0,0,83.73,0.66,597.51,0,0.66,14.01315459,85.98684541
01 January 2019,Bihar,40.11,56.67,3084.76,3084.76,0,0,1.15,41.26,0,0,0,56.67,15.41,3141.43,0,15.41,1.803955523,98.19604448
01 January 2019,Chandigarh,0,0.23,0,0,0,0,0,0,0,0,0,0.23,0.23,0.23,0,0.23,100,0
01 January 2019,Chhattisgarh,26.48,67.07,8304.13,8304.13,0,0,11.04,37.52,0,0,0,67.07,29.55,8371.2,0,29.55,0.80119935,99.19880065
01 January 2019,Dadra and Nagar Haveli and Daman and Diu,0,2.33,0,0,0,0,0,0,0,0,0,2.33,2.33,2.33,0,2.33,100,0
01 January 2019,Delhi,0,21.74,0,512.82,512.82,512.82,0,21.26,0,0,21.26,21.74,0.48,534.56,0,0.48,4.066896139,95.93310386
01 January 2019,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 January 2019,Gujarat,5.5,1316.18,8147.68,8915.61,767.93,767.93,128.48,133.98,168.86,0,0,1147.32,233.43,10231.79,779.91,1013.34,12.86363383,87.13636617
01 January 2019,Haryana,26.06,48.32,2370.14,2496.92,126.78,126.78,17.22,43.28,0,0,0,48.32,5.04,2545.24,0,5.04,1.898445726,98.10155427
01 January 2019,Himachal Pradesh,0,1473.18,0,0,0,0,1473.18,1473.18,0,0,0,1473.18,0,1473.18,0,0,100,0
01 January 2019,India Total,2582,19914.91,86375.09,90353.52,3971.55,3978.43,7790.99,10408.1,3120.11,6.88,35.11,16794.8,3534.81,110268.43,2851.89,6386.7,18.06039136,81.93960864
01 January 2019,Jammu and Kashmir,0,637.88,0,0,0,0,637.88,637.88,0,0,0,637.88,0,637.88,0,0,100,0
01 January 2019,Jharkhand,0,1.56,2155.02,2155.02,0,0,0,0,0,0,0,1.56,1.56,2156.58,0,1.56,0.072336755,99.92766324
01 January 2019,Karnataka,547.46,3580,2538.87,2538.87,0,0,1236.3,1783.76,507.21,0,0,3072.79,759.16,6118.87,529.87,1289.03,58.50753489,41.49246511
01 January 2019,Kerala,0,387.15,0,0,0,0,368.47,368.47,0,0,0,387.15,11.98,387.15,6.7,18.68,100,0
01 January 2019,Lakshadweep,0,0.08,0,0,0,0,0,0,0,0,0,0.08,0.08,0.08,0,0.08,100,0
