Training data,,Test data,,Forecasted data,,,
Date,Fossil,Date,Fossil,Fossil,,,
01-01-2019,90353.52,01-08-2024,104199.24,108574.7095,,,
01-02-2019,81500.42,01-09-2024,102151.29,106598.8449,,,
01-03-2019,95223.98,01-10-2024,114101.72,107405.3048,,,
01-04-2019,94666.84,01-11-2024,104231.42,104466.5895,,,
01-05-2019,98842.21,01-12-2024,108241.52,114885.0514,,,
01-06-2019,94220.74,01-01-2025,114112.24,119764.0657,,,
01-07-2019,87371.93,01-02-2025,110400.13,113926.7518,,,
01-08-2019,80782.13,01-03-2025,122661.94,122872.9054,,,
01-09-2019,78980.25,01-04-2025,119070.49,117139.0913,,,
01-10-2019,79114.94,01-05-2025,114095.95,114299.0364,,,
01-11-2019,79533.01,01-06-2025,108811.65,111793.7066,,,
01-12-2019,86329.15,01-07-2025,106134,112449.6877,,,
01-01-2020,90803.1,,,,,,
01-02-2020,89300.49,,,,,,
01-03-2020,82812.39,,,,,,
01-04-2020,66805.72,,,,,,
01-05-2020,77893.75,,,,,,
01-06-2020,78147.17,,,,,,
01-07-2020,85447.27,,,,,,
01-08-2020,79033.7,,,,,,
01-09-2020,85987.73,,,,,,
01-10-2020,89655.52,,,,,,
01-11-2020,82535.46,,,,,,
01-12-2020,91411.03,,,,,,
01-01-2021,97191.82,,,,,,
01-02-2021,91299.26,,,,,,
01-03-2021,107105.05,,,,,,
01-04-2021,103697.4,,,,,,
01-05-2021,87506.62,,,,,,
01-06-2021,85437.74,,,,,,
01-07-2021,92426.67,,,,,,
01-08-2021,96231.95,,,,,,
01-09-2021,85318.96,,,,,,
01-10-2021,90105.68,,,,,,
01-11-2021,82708.87,,,,,,
01-12-2021,93295.51,,,,,,
01-01-2022,96292.28,,,,,,
01-02-2022,92931.51,,,,,,
01-03-2022,108761.15,,,,,,
01-04-2022,111582.83,,,,,,
01-05-2022,108416.17,,,,,,
01-06-2022,105618.17,,,,,,
01-07-2022,94355.88,,,,,,
01-08-2022,93230,,,,,,
01-09-2022,93295.94,,,,,,
01-10-2022,88185.58,,,,,,
01-11-2022,94462.84,,,,,,
01-12-2022,102942.25,,,,,,
01-01-2023,106393.71,,,,,,
01-02-2023,99367.63,,,,,,
01-03-2023,108359.66,,,,,,
01-04-2023,111573.48,,,,,,
01-05-2023,111515.28,,,,,,
01-06-2023,109220.04,,,,,,
01-07-2023,103175.41,,,,,,
01-08-2023,110065.64,,,,,,
01-09-2023,108820.55,,,,,,
01-10-2023,117258.64,,,,,,
01-11-2023,103666.97,,,,,,
01-12-2023,105491.25,,,,,,
01-01-2024,117488.17,,,,,,
01-02-2024,109264.82,,,,,,
01-03-2024,118745.66,,,,,,
01-04-2024,123681.53,,,,,,
01-05-2024,127870.48,,,,,,
01-06-2024,120865.06,,,,,,
01-07-2024,111406.42,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
